NAME_1,diabetes_ratio,hypertens_ratio,adult_ob_ratio,asthma_ratio,food_insec_ratio
Alabama,0.14,0.425,0.361,0.095,14.7
Alaska,0.073,0.328,0.305,0.099,10.8
Arizona,0.109,0.325,0.314,0.097,12.4
Arkansas,0.136,0.41,0.374,0.093,15.1
California,0.101,0.278,0.262,0.078,10.6
Colorado,0.07,0.258,0.238,0.097,9.1
Connecticut,0.096,0.309,0.291,0.105,12.4
Delaware,0.087,0.272,0.334,0.098,10.5
District of Columbia,0.128,0.364,0.238,0.114,10.6
Florida,0.117,0.335,0.27,0.074,11.7
Georgia,0.12,0.348,0.331,0.077,11.3
Hawaii,0.105,0.307,0.25,0.096,8
Idaho,0.103,0.306,0.295,0.1,9.8
Illinois,0.113,0.322,0.316,0.082,10.7
Indiana,0.124,0.348,0.353,0.098,13.5
Iowa,0.103,0.318,0.339,0.08,9.2
Kansas,0.108,0.335,0.352,0.099,13.8
Kentucky,0.133,0.409,0.365,0.095,14.7
Louisiana,0.126,0.397,0.359,0.079,15.8
Maine,0.106,0.362,0.317,0.118,13.6
Maryland,0.11,0.343,0.323,0.09,11.1
Massachusetts,0.084,0.281,0.252,0.103,9.3
Michigan,0.111,0.351,0.36,0.111,12.9
Minnesota,0.088,0.287,0.301,0.083,8.6
Mississippi,0.148,0.436,0.408,0.099,15.9
Missouri,0.103,0.309,0.348,0.101,12
Montana,0.076,0.295,0.283,0.1,10.3
Nebraska,0.102,0.31,0.341,0.08,11.4
Nevada,0.109,0.328,0.306,0.094,12.9
New Hampshire,0.092,0.315,0.318,0.108,7.8
New Jersey,0.123,0.296,0.271,0.093,8.5
New Mexico,0.105,0.316,0.317,0.084,16.8
New York,0.118,0.296,0.271,0.093,10.5
North Carolina,0.089,0.351,0.34,0.083,13.9
North Dakota,0.12,0.298,0.348,0.081,8.8
Ohio,0.122,0.345,0.368,0.111,13.2
Oklahoma,0.086,0.378,0.368,0.102,15.6
Oregon,0.086,0.306,0.29,0.111,11.1
Pennsylvania,0.108,0.333,0.332,0.109,11.1
Rhode Island,0.104,0.33,0.3,0.112,11
South Carolina,0.134,0.383,0.354,0.094,11
South Dakota,0.106,0.309,0.33,0.085,10.9
Tennessee,0.138,0.393,0.365,0.088,12.4
Texas,0.122,0.317,0.34,0.071,14
Utah,0.08,0.258,0.292,0.099,9.8
Vermont,0.087,0.302,0.266,0.116,9.6
Virginia,0.109,0.336,0.319,0.088,10.1
Washington,0.094,0.303,0.283,0.099,10.3
West Virginia,0.157,0.438,0.397,0.115,15.7
Wisconsin,0.087,0.31,0.342,0.102,8.9
Wyoming,0.078,0.307,0.297,0.095,12.6